Sample, clk, data
-10000000, 0, 1
-100, 1, 1
-50, 1, 0
0, 0, 0
29, 0, 1
76, 1, 1
129, 0, 1
147, 0, 0
194, 1, 0
247, 0, 0
313, 1, 0
366, 0, 0
431, 1, 0
484, 0, 0
503, 0, 1
551, 1, 1
604, 0, 1
670, 1, 1
723, 0, 1
741, 0, 0
788, 1, 0
841, 0, 0
907, 1, 0
960, 0, 0
1037, 1, 0
1090, 0, 0
1156, 1, 0
1209, 0, 0
1274, 1, 0
1327, 0, 0
1392, 1, 0
1445, 0, 0
1511, 1, 0
1564, 0, 0
1629, 1, 0
1682, 0, 0
1748, 1, 0
1801, 0, 0
1866, 1, 0
1919, 0, 0
1996, 1, 0
2049, 0, 0
2114, 1, 0
2167, 0, 0
2233, 1, 0
2286, 0, 0
2351, 1, 0
2404, 0, 0
2470, 1, 0
2523, 0, 0
2588, 1, 0
2641, 0, 0
2706, 1, 0
2759, 0, 0
2824, 1, 0
2877, 0, 0
2959, 1, 0
3009, 1, 1
3059, 0, 1
3132, 1, 1
3194, 0, 1
3249, 1, 1
3311, 0, 1
3365, 1, 1
3427, 0, 1
3428, 0, 0
3482, 1, 0
3545, 0, 0
3599, 1, 0
3662, 0, 0
3717, 1, 0
3780, 0, 0
3834, 1, 0
3898, 0, 0
3952, 1, 0
4015, 0, 0
4145, 1, 0
4208, 0, 0
4263, 1, 0
4326, 0, 0
4380, 1, 0
4444, 0, 0
4498, 1, 0
4561, 0, 0
4616, 1, 0
4679, 0, 0
4733, 1, 0
4797, 0, 1
4851, 1, 1
4913, 0, 1
4914, 0, 0
4968, 1, 0
5031, 0, 1
5161, 1, 1
5223, 0, 0
5277, 1, 0
5340, 0, 0
5395, 1, 0
5458, 0, 0
5512, 1, 0
5575, 0, 0
5576, 0, 1
5630, 1, 1
5692, 0, 1
5746, 1, 1
5808, 0, 0
5862, 1, 0
5925, 0, 0
5980, 1, 0
6043, 0, 0
6173, 1, 0
6236, 0, 0
6291, 1, 0
6354, 0, 0
6408, 1, 0
6471, 0, 0
6526, 1, 0
6589, 0, 0
6590, 0, 1
6644, 1, 1
6706, 0, 0
6760, 1, 0
6823, 0, 0
6877, 1, 0
6940, 0, 0
6995, 1, 0
7058, 0, 0
7059, 0, 1
7177, 1, 1
7229, 0, 1
7282, 0, 0
7391, 1, 0
7454, 0, 0
7455, 0, 1
7508, 1, 1
7570, 0, 1
7571, 0, 0
7625, 1, 0
7688, 0, 0
7742, 1, 0
7805, 0, 0
7860, 1, 0
7923, 0, 0
7924, 0, 1
7978, 1, 1
8040, 0, 0
8094, 1, 0
8157, 0, 0
8158, 0, 1
8212, 1, 1
8274, 0, 1
8390, 1, 1
8452, 0, 1
8506, 1, 1
8568, 0, 1
8569, 0, 0
8623, 1, 0
8686, 0, 0
8740, 1, 0
8804, 0, 1
8858, 1, 1
8920, 0, 0
8975, 1, 0
9038, 0, 0
9092, 1, 0
9155, 0, 0
9210, 1, 0
9273, 0, 0
9390, 1, 0
9453, 0, 0
9507, 1, 0
9570, 0, 0
9625, 1, 0
9688, 0, 0
9742, 1, 0
9805, 0, 0
9806, 0, 1
9860, 1, 1
9922, 0, 0
9976, 1, 0
10039, 0, 0
10094, 1, 0
10157, 0, 0
10211, 1, 0
10274, 0, 0
10275, 0, 1
10391, 1, 1
10453, 0, 0
10507, 1, 0
10570, 0, 0
10625, 1, 0
10688, 0, 0
10743, 1, 0
10806, 0, 1
10860, 1, 1
10922, 0, 1
10923, 0, 0
10977, 1, 0
11040, 0, 0
11094, 1, 0
11158, 0, 1
11212, 1, 1
11274, 0, 1
149651, 1, 1
149701, 1, 0
149752, 0, 0
149780, 0, 1
149828, 1, 1
149881, 0, 1
149898, 0, 0
149946, 1, 0
149999, 0, 0
150065, 1, 0
150118, 0, 0
150183, 1, 0
150236, 0, 0
150255, 0, 1
150302, 1, 1
150355, 0, 1
150422, 1, 1
150475, 0, 1
150492, 0, 0
150540, 1, 0
150593, 0, 0
150658, 1, 0
150711, 0, 0
150788, 1, 0
150841, 0, 0
150907, 1, 0
150959, 0, 0
151025, 1, 0
151078, 0, 0
151143, 1, 0
151196, 0, 0
151262, 1, 0
151315, 0, 0
