Sample, clk, data, rst
-4928205, 0, 0, 0
-51, 0, 1, 1
-26, 1, 1, 1
0, 0, 1, 1
27, 0, 0, 0
97, 1, 0, 0
128, 0, 1, 0
156, 1, 1, 0
187, 0, 0, 0
214, 1, 0, 0
245, 0, 0, 0
273, 1, 0, 0
304, 0, 1, 0
332, 1, 1, 0
363, 0, 0, 0
390, 1, 0, 0
421, 0, 0, 0
448, 1, 0, 0
480, 0, 1, 0
507, 1, 1, 0
538, 0, 1, 0
605, 1, 1, 0
636, 0, 1, 0
663, 1, 1, 0
694, 0, 0, 0
721, 1, 0, 0
753, 0, 0, 0
780, 1, 0, 0
812, 0, 0, 0
839, 1, 0, 0
871, 0, 1, 0
898, 1, 1, 0
929, 0, 0, 0
956, 1, 0, 0
988, 0, 0, 0
1015, 1, 0, 0
1047, 0, 0, 0
1113, 1, 0, 0
1145, 0, 0, 0
1172, 1, 0, 0
1204, 0, 0, 0
1231, 1, 0, 0
1263, 0, 0, 0
1290, 1, 0, 0
1322, 0, 1, 0
1349, 1, 1, 0
1380, 0, 0, 0
1407, 1, 0, 0
1439, 0, 0, 0
1466, 1, 0, 0
1498, 0, 0, 0
1525, 1, 0, 0
1557, 0, 1, 0
1623, 1, 1, 0
1654, 0, 0, 0
1682, 1, 0, 0
1713, 0, 0, 0
1741, 1, 0, 0
1772, 0, 0, 0
1799, 1, 0, 0
1831, 0, 1, 0
1858, 1, 1, 0
1889, 0, 0, 0
1916, 1, 0, 0
1948, 0, 0, 0
1975, 1, 0, 0
2007, 0, 1, 0
2034, 1, 1, 0
2065, 0, 1, 0
136488, 0, 1, 1
136513, 1, 1, 1
136539, 0, 1, 1
136566, 0, 0, 0
136636, 1, 0, 0
136667, 0, 1, 0
136695, 1, 1, 0
136725, 0, 0, 0
136753, 1, 0, 0
136784, 0, 0, 0
136811, 1, 0, 0
136843, 0, 1, 0
136870, 1, 1, 0
136901, 0, 0, 0
136928, 1, 0, 0
136960, 0, 0, 0
136987, 1, 0, 0
137019, 0, 1, 0
137046, 1, 1, 0
137077, 0, 1, 0
137144, 1, 1, 0
137175, 0, 1, 0
137202, 1, 1, 0
137233, 0, 0, 0
137260, 1, 0, 0
137292, 0, 0, 0
137319, 1, 0, 0
137351, 0, 0, 0
137378, 1, 0, 0
137410, 0, 1, 0
137437, 1, 1, 0
137468, 0, 0, 0
137495, 1, 0, 0
137527, 0, 0, 0
137554, 1, 0, 0
137585, 0, 0, 0
137652, 1, 0, 0
137684, 0, 0, 0
137711, 1, 0, 0
137742, 0, 0, 0
137770, 1, 0, 0
137801, 0, 0, 0
137828, 1, 0, 0
137860, 0, 1, 0
137887, 1, 1, 0
137918, 0, 0, 0
137945, 1, 0, 0
137977, 0, 0, 0
138004, 1, 0, 0
138036, 0, 0, 0
138063, 1, 0, 0
138095, 0, 1, 0
138162, 1, 1, 0
138192, 0, 0, 0
138220, 1, 0, 0
138251, 0, 0, 0
138278, 1, 0, 0
138310, 0, 0, 0
138337, 1, 0, 0
138369, 0, 1, 0
138396, 1, 1, 0
138427, 0, 0, 0
138454, 1, 0, 0
138486, 0, 0, 0
138513, 1, 0, 0
138545, 0, 1, 0
138572, 1, 1, 0
138603, 0, 1, 0
275298, 0, 1, 1
275323, 1, 1, 1
275349, 0, 1, 1
275375, 0, 0, 0
275445, 1, 0, 0
275477, 0, 1, 0
275504, 1, 1, 0
275535, 0, 0, 0
275562, 1, 0, 0
275594, 0, 0, 0
275621, 1, 0, 0
275653, 0, 1, 0
275680, 1, 1, 0
275711, 0, 0, 0
275738, 1, 0, 0
275770, 0, 0, 0
275797, 1, 0, 0
275829, 0, 1, 0
275856, 1, 1, 0
275887, 0, 1, 0
275954, 1, 1, 0
275985, 0, 1, 0
276012, 1, 1, 0
276043, 0, 0, 0
276070, 1, 0, 0
276102, 0, 0, 0
276129, 1, 0, 0
276161, 0, 0, 0
276188, 1, 0, 0
276220, 0, 1, 0
276247, 1, 1, 0
276278, 0, 0, 0
276305, 1, 0, 0
276336, 0, 0, 0
276363, 1, 0, 0
276395, 0, 0, 0
276462, 1, 0, 0
276494, 0, 0, 0
276521, 1, 0, 0
276552, 0, 0, 0
276580, 1, 0, 0
276611, 0, 0, 0
276639, 1, 0, 0
276670, 0, 1, 0
276697, 1, 1, 0
276728, 0, 0, 0
276755, 1, 0, 0
276787, 0, 0, 0
276814, 1, 0, 0
276846, 0, 0, 0
276873, 1, 0, 0
276905, 0, 1, 0
276972, 1, 1, 0
277003, 0, 0, 0
277030, 1, 0, 0
277061, 0, 0, 0
277089, 1, 0, 0
277120, 0, 0, 0
277147, 1, 0, 0
277179, 0, 1, 0
277206, 1, 1, 0
277237, 0, 0, 0
277264, 1, 0, 0
277296, 0, 0, 0
277323, 1, 0, 0
277355, 0, 1, 0
277382, 1, 1, 0
277413, 0, 1, 0
345612, 0, 1, 1
345653, 0, 0, 1
345677, 1, 0, 1
345702, 0, 0, 1
345735, 1, 0, 1
345760, 0, 0, 1
345769, 0, 1, 1
345793, 1, 1, 1
345818, 0, 1, 1
345851, 1, 1, 1
345876, 0, 1, 1
345885, 0, 0, 1
345909, 1, 0, 1
345934, 0, 0, 1
345967, 1, 0, 1
345992, 0, 0, 1
346025, 1, 0, 1
346050, 0, 0, 1
346083, 1, 0, 1
346108, 0, 0, 1
346120, 0, 1, 1
346148, 0, 0, 1
346172, 1, 0, 1
346197, 0, 0, 1
